Post_Date,Renzi,Salvini,M5S
2009,10400.0,14369.0,242.0
2010,66314.0,394973.0,8491.0
2011,167165.0,671507.0,18924.0
2012,712548.0,2853836.0,108310.0
2013,3265922.0,15173687.0,751245.0
2014,2607356.0,15074809.0,454594.0
2015,1376959.0,7290605.0,823788.0
2016,1961912.0,9024633.0,1961995.0
